Time,A1,A2,A3,A4,A5,A6,A7,A8,A9
0:29:10,2004,1974,1942,1808,1799,1806,2526,1899,1899
0:59:10,1794,1819,1911,1722,1675,1734,2416,1738,1738
1:29:10,1845,1902,1871,1738,1822,1655,2354,1758,1758
1:59:10,1905,2057,1911,1691,1955,1805,2462,1831,1831
2:29:10,1900,2018,2080,1852,2046,1813,2532,2038,2038
2:59:10,1980,2114,2071,1814,1996,1980,2555,1871,1871
3:29:10,2018,1954,2022,1872,2311,1956,2592,1869,1869
3:59:10,1993,2064,2183,1737,2303,1910,2705,2056,2056
4:29:10,1966,2142,1994,1887,2512,1893,2772,2032,2032
4:59:10,1934,2036,2028,1925,2608,1914,2811,1976,1976
5:29:10,1934,1956,2051,1733,2582,1824,2727,1967,1967
5:59:10,1985,1961,1987,1801,2768,1806,2914,1822,1822
6:29:10,1940,1955,1832,1648,2848,1669,2949,1818,1818
6:59:10,1857,1880,2016,1643,3010,1632,2869,1808,1808
7:29:10,1725,1760,1839,1573,3041,1623,2877,1738,1738
7:59:10,1738,1784,1696,1440,3095,1555,2924,1589,1589
8:29:10,1723,1748,1729,1479,3407,1465,2983,1598,1598
8:59:10,1485,1612,1524,1389,3330,1327,2980,1497,1497
9:29:10,1447,1382,1648,1295,3451,1221,2874,1463,1463
9:59:10,1457,1391,1485,1162,3749,1142,3085,1320,1320
10:29:10,1370,1464,1418,1152,3828,1123,3104,1302,1302
