clase,rpon,orgs_tot
Acidobacteriia,8,8
Spirochaetia,12,12
Sphingobacteriia,7,7
Thermodesulfobacteria,5,5
Planctomycetia,29,30
Bacilli,67,104
Epsilonproteobacteria,13,19
Flavobacteriia,65,66
Aquificae,9,9
Clostridia,70,99
Erysipelotrichia,5,9
Betaproteobacteria,114,124
Chlorobia,5,5
Alphaproteobacteria,166,214
Deltaproteobacteria,46,46
Actinomycetia,4,159
Phycisphaerae,6,6
Negativicutes,7,10
Bacteroidia,25,26
Gammaproteobacteria,207,248
Deferribacteres,5,5
Thermotogae,7,11
Cytophagia,27,27
